ckpt_path,nb_concepts,top_k,train_r2_mean,val_r2_mean,test_r2_mean,train_mcc_mean,val_mcc_mean,test_mcc_mean
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k10_c30.pt,30,10,0.053171745368412564,0.02574390172958374,0.005961418151855469,0.06546071477766548,0.050267056695052555,0.02044492826930114
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k10_c40.pt,40,10,0.09636780193873815,0.056329497269221714,0.013083585671016149,0.11570366844534874,0.10588549609695162,0.01666314766875335
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k16_c1024.pt,1024,16,0.14776441880634852,0.029153270380837575,0.036359965801239014,0.1699036955833435,0.12982283319745744,0.1269610444349902
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k16_c2048.pt,2048,16,0.15270203351974487,0.06800174713134766,0.035615546362740655,0.189003980585507,0.08506269087748868,0.11461403300719601
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k16_c4096.pt,4096,16,0.1422234262738909,0.05384831769125802,0.025771677494049072,0.18456378366265977,0.17552593243973597,0.057173704994576316
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k16_c512.pt,512,16,0.1434213433946882,0.029117694922855923,0.013296987329210554,0.1662249943308,0.06656295327203614,0.10023879525916916
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k1_c1024.pt,1024,1,0.02558544703892299,0.018754763262612478,0.009008347988128662,0.034368562645145824,0.007270170641796929,0.01991492829152516
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k1_c2048.pt,2048,1,0.01926243305206299,0.006920559065682548,-0.0009283849171229772,0.02610669963593994,-0.014850578669990813,-0.017635550882135118
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k1_c4096.pt,4096,1,0.027655516351972307,0.012022078037261963,-0.0041035498891557965,0.04690435103007725,0.02988589448588235,0.014956012767340456
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k1_c512.pt,512,1,0.03452513899121966,0.014193620000566756,-0.005570999213627407,0.04457561405641692,0.05298075159745557,0.011786494537123613
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k2_c1024.pt,1024,2,0.08754622084753853,0.012591293879917689,-0.013477018901279994,0.14568438913140977,0.029614204806940898,0.0016903806078646863
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k2_c2048.pt,2048,2,0.10208498580115181,0.010574843202318465,-0.033151941640036445,0.17445407807826996,0.06029182433017662,0.02612601193998541
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k2_c4096.pt,4096,2,0.10101996149335589,0.018960867609296526,0.012845405510493688,0.16625460875885828,0.07138636788087231,0.051497278468949456
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k2_c512.pt,512,2,0.08177352803094047,0.021603047847747803,-0.015238353184291295,0.1513160914182663,0.06785816273518971,0.016287571883627346
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k4_c1024.pt,1024,4,0.10213488340377808,0.05075076648167202,0.01290074416569301,0.13334637733974627,0.06362046487629414,0.06700287972177778
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k4_c2048.pt,2048,4,0.10582304000854492,0.04958176612854004,0.028645191873822893,0.15929159202745982,0.04754226841032505,-0.0001840256154537201
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k4_c4096.pt,4096,4,0.11890793698174613,0.03490877151489258,0.020652166434696743,0.16759682074189186,0.044111679175070355,0.07166376390627452
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k4_c512.pt,512,4,0.11029922962188721,0.05234673193522862,0.043020316532679966,0.14489496179989406,0.05299313845379012,0.06447382164852959
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k8_c1024.pt,1024,8,0.12598098175866262,0.06929322651454381,0.04528100149972098,0.13956295273133687,0.05219993880018592,0.07335108372249774
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k8_c2048.pt,2048,8,0.13322020428521292,0.05370350394930158,0.021295598575047085,0.15255038333790644,0.0858951886849744,0.0657665106867041
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k8_c4096.pt,4096,8,0.11352323634283883,0.0705516082899911,0.03211132117680141,0.13445526680776052,0.055026228938783915,0.04662432973938329
./checkpoints/BatchTopKSAE/sae_libero_object_layer11_k8_c512.pt,512,8,0.12166896888187953,0.03496046577181135,0.05106186866760254,0.15377408478941237,0.06056406455380576,0.046899984191570966
